open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,timestamp
1759752000000,1.5,3.0,1.5,2.143,40974578.45,1759755600000,87449558.02162,167122,2025-10-06 12:00:00+00:00
1759755600000,2.143,2.198,2.0,2.062,18648687.34,1759759200000,39157889.57947,59929,2025-10-06 13:00:00+00:00
1759759200000,2.062,2.109,2.031,2.091,10061843.8,1759762800000,20779036.99773,34430,2025-10-06 14:00:00+00:00
1759762800000,2.091,2.139,2.061,2.128,7518083.78,1759766400000,15732479.63948,28857,2025-10-06 15:00:00+00:00
1759766400000,2.128,2.148,2.076,2.12,6799346.0,1759770000000,14362850.16098,26191,2025-10-06 16:00:00+00:00
1759770000000,2.119,2.125,2.061,2.085,4523218.57,1759773600000,9478175.99002,17422,2025-10-06 17:00:00+00:00
1759773600000,2.086,2.117,2.045,2.054,4628116.26,1759777200000,9623671.69563,17372,2025-10-06 18:00:00+00:00
1759777200000,2.055,2.13,2.04,2.121,4757053.35,1759780800000,9911155.46641,16671,2025-10-06 19:00:00+00:00
1759780800000,2.12,2.138,2.089,2.096,3065588.59,1759784400000,6486940.34793,12274,2025-10-06 20:00:00+00:00
1759784400000,2.096,2.118,2.062,2.109,2801480.28,1759788000000,5853049.98993,12316,2025-10-06 21:00:00+00:00
1759788000000,2.108,2.115,2.051,2.062,3347297.96,1759791600000,6979189.87776,12210,2025-10-06 22:00:00+00:00
1759791600000,2.062,2.072,2.015,2.063,3546318.15,1759795200000,7242795.37459,12659,2025-10-06 23:00:00+00:00
1759795200000,2.064,2.117,2.064,2.1,4305759.06,1759798800000,9025206.40067,13714,2025-10-07 00:00:00+00:00
1759798800000,2.099,2.115,2.035,2.063,4739347.72,1759802400000,9813744.27786,15654,2025-10-07 01:00:00+00:00
1759802400000,2.063,2.075,2.033,2.037,2851419.77,1759806000000,5846627.26629,9990,2025-10-07 02:00:00+00:00
1759806000000,2.036,2.055,1.986,2.021,3806364.1,1759809600000,7668218.97436,12882,2025-10-07 03:00:00+00:00
1759809600000,2.021,2.06,1.977,2.059,4069969.55,1759813200000,8181108.76759,13063,2025-10-07 04:00:00+00:00
1759813200000,2.058,2.07,2.04,2.051,2855194.05,1759816800000,5864788.93311,8966,2025-10-07 05:00:00+00:00
1759816800000,2.051,2.051,1.945,1.974,6928898.51,1759820400000,13776949.0902,23578,2025-10-07 06:00:00+00:00
1759820400000,1.973,1.999,1.96,1.993,3855154.58,1759824000000,7635515.06347,18988,2025-10-07 07:00:00+00:00
1759824000000,1.993,2.004,1.966,1.996,3853288.89,1759827600000,7643887.84007,28450,2025-10-07 08:00:00+00:00
