open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,timestamp
1742310000000,0.1461,0.3298,0.1461,0.2729,156372102.3,1742313600000,45477995.80434,195691,2025-03-18 15:00:00+00:00
1742313600000,0.2729,0.2782,0.245,0.2598,61099596.7,1742317200000,15970976.729,114508,2025-03-18 16:00:00+00:00
1742317200000,0.2598,0.2667,0.234,0.2381,33755060.8,1742320800000,8352149.5771,78431,2025-03-18 17:00:00+00:00
1742320800000,0.2381,0.2462,0.2277,0.2347,22950702.9,1742324400000,5417495.6926,70017,2025-03-18 18:00:00+00:00
1742324400000,0.2347,0.2484,0.2325,0.2473,20530859.7,1742328000000,4937077.6446,34545,2025-03-18 19:00:00+00:00
1742328000000,0.2473,0.2476,0.235,0.2382,13527111.1,1742331600000,3262146.7685,20657,2025-03-18 20:00:00+00:00
1742331600000,0.2383,0.2466,0.2318,0.2439,10733433.1,1742335200000,2568736.71932,17668,2025-03-18 21:00:00+00:00
1742335200000,0.2437,0.2718,0.2436,0.2599,35541756.7,1742338800000,9225571.43405,52606,2025-03-18 22:00:00+00:00
1742338800000,0.2599,0.2757,0.255,0.267,23640001.7,1742342400000,6324358.89699,43968,2025-03-18 23:00:00+00:00
1742342400000,0.267,0.2731,0.2484,0.2499,21639076.2,1742346000000,5655409.21942,42288,2025-03-19 00:00:00+00:00
1742346000000,0.25,0.2515,0.2305,0.2377,27458678.1,1742349600000,6589284.14352,34633,2025-03-19 01:00:00+00:00
1742349600000,0.2378,0.249,0.235,0.2454,19106391.1,1742353200000,4643112.32449,27776,2025-03-19 02:00:00+00:00
1742353200000,0.2454,0.257,0.2407,0.2435,14690114.8,1742356800000,3640374.9667,26200,2025-03-19 03:00:00+00:00
1742356800000,0.2434,0.248,0.2352,0.237,11177428.8,1742360400000,2693449.44701,20439,2025-03-19 04:00:00+00:00
1742360400000,0.237,0.2449,0.236,0.2418,9382969.8,1742364000000,2262677.01154,18157,2025-03-19 05:00:00+00:00
1742364000000,0.2417,0.244,0.2362,0.2426,11148368.9,1742367600000,2683442.65409,16289,2025-03-19 06:00:00+00:00
1742367600000,0.2425,0.2493,0.2213,0.224,28542973.7,1742371200000,6718915.46137,31801,2025-03-19 07:00:00+00:00
1742371200000,0.224,0.2339,0.2151,0.2238,21534639.5,1742374800000,4818000.09161,27200,2025-03-19 08:00:00+00:00
1742374800000,0.2238,0.2269,0.217,0.22,10569162.3,1742378400000,2351395.54888,14398,2025-03-19 09:00:00+00:00
1742378400000,0.2202,0.2293,0.2193,0.2257,9943859.3,1742382000000,2220684.52525,14963,2025-03-19 10:00:00+00:00
1742382000000,0.2258,0.2287,0.2214,0.2223,9557421.0,1742385600000,2151320.56257,10625,2025-03-19 11:00:00+00:00
1742385600000,0.2222,0.2251,0.2164,0.2217,12156385.5,1742389200000,2688449.74369,14323,2025-03-19 12:00:00+00:00
1742389200000,0.2215,0.2215,0.2106,0.2134,15897570.4,1742392800000,3427069.10087,16588,2025-03-19 13:00:00+00:00
1742392800000,0.2135,0.2249,0.2123,0.2234,12200251.7,1742396400000,2672213.0181,15185,2025-03-19 14:00:00+00:00
1742396400000,0.2234,0.2237,0.2143,0.2202,13667404.8,1742400000000,2991794.81904,16880,2025-03-19 15:00:00+00:00
1742400000000,0.2202,0.2249,0.2156,0.2186,10347094.8,1742403600000,2286262.19646,11898,2025-03-19 16:00:00+00:00
1742403600000,0.2188,0.2227,0.2143,0.2171,8857241.6,1742407200000,1935377.26218,9309,2025-03-19 17:00:00+00:00
1742407200000,0.2169,0.221,0.2151,0.2181,8382796.7,1742410800000,1824407.94065,9606,2025-03-19 18:00:00+00:00
1742410800000,0.2183,0.2215,0.214,0.2153,6618104.9,1742414400000,1437402.51403,9880,2025-03-19 19:00:00+00:00
1742414400000,0.2155,0.2192,0.2149,0.2155,4188195.2,1742418000000,907661.30105,5746,2025-03-19 20:00:00+00:00
1742418000000,0.2156,0.2235,0.2156,0.2171,5499420.8,1742421600000,1208490.89823,8060,2025-03-19 21:00:00+00:00
1742421600000,0.2171,0.2372,0.2152,0.2322,11182253.8,1742425200000,2526135.66148,11032,2025-03-19 22:00:00+00:00
1742425200000,0.2318,0.2348,0.2234,0.2304,18952459.5,1742428800000,4329837.29731,16159,2025-03-19 23:00:00+00:00
1742428800000,0.2302,0.2305,0.2176,0.2198,10707380.8,1742432400000,2377508.58857,12787,2025-03-20 00:00:00+00:00
1742432400000,0.2199,0.2231,0.2161,0.2174,5981591.1,1742436000000,1312024.19056,6699,2025-03-20 01:00:00+00:00
1742436000000,0.2174,0.2345,0.2152,0.2295,15533130.4,1742439600000,3521643.03688,15695,2025-03-20 02:00:00+00:00
1742439600000,0.2294,0.2359,0.2262,0.2276,7520291.9,1742443200000,1732191.609,8889,2025-03-20 03:00:00+00:00
1742443200000,0.2275,0.23,0.2201,0.2212,5299255.1,1742446800000,1190517.32278,7169,2025-03-20 04:00:00+00:00
1742446800000,0.2213,0.2235,0.2194,0.223,4596444.4,1742450400000,1017956.8275,5666,2025-03-20 05:00:00+00:00
1742450400000,0.2232,0.2339,0.2222,0.2315,9313584.1,1742454000000,2130793.46885,9062,2025-03-20 06:00:00+00:00
1742454000000,0.2315,0.2429,0.2301,0.2344,13416816.8,1742457600000,3181813.94976,14479,2025-03-20 07:00:00+00:00
1742457600000,0.2347,0.2418,0.2294,0.2357,10290678.0,1742461200000,2428812.3286,11589,2025-03-20 08:00:00+00:00
1742461200000,0.2358,0.2406,0.2247,0.2253,10870815.8,1742464800000,2505681.90887,11721,2025-03-20 09:00:00+00:00
1742464800000,0.2253,0.2286,0.2232,0.2269,6570688.1,1742468400000,1486572.14103,7085,2025-03-20 10:00:00+00:00
1742468400000,0.2269,0.2294,0.2209,0.2222,8098607.1,1742472000000,1821119.62223,7853,2025-03-20 11:00:00+00:00
1742472000000,0.2223,0.2245,0.2193,0.2232,8969965.6,1742475600000,1988506.08295,9577,2025-03-20 12:00:00+00:00
1742475600000,0.2233,0.2251,0.22,0.2223,4239210.7,1742479200000,944721.1864,4357,2025-03-20 13:00:00+00:00
1742479200000,0.2222,0.2245,0.2188,0.2202,5262878.0,1742482800000,1165132.35141,4751,2025-03-20 14:00:00+00:00
1742482800000,0.22,0.2202,0.1989,0.2002,22833126.7,1742486400000,4755531.47957,20090,2025-03-20 15:00:00+00:00
1742486400000,0.2001,0.2024,0.1966,0.2017,11711222.0,1742490000000,2335267.27165,11146,2025-03-20 16:00:00+00:00
1742490000000,0.2016,0.2045,0.1967,0.1984,6077826.8,1742493600000,1213765.73974,5540,2025-03-20 17:00:00+00:00
1742493600000,0.1982,0.1999,0.1957,0.1972,5316760.9,1742497200000,1051330.71042,4702,2025-03-20 18:00:00+00:00
1742497200000,0.1971,0.1992,0.1955,0.1983,4046424.4,1742500800000,799410.18795,4084,2025-03-20 19:00:00+00:00
1742500800000,0.198,0.199,0.1945,0.1986,4460623.2,1742504400000,878574.47562,3705,2025-03-20 20:00:00+00:00
1742504400000,0.1985,0.201,0.197,0.1983,2601199.5,1742508000000,517889.07447,2265,2025-03-20 21:00:00+00:00
