open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,timestamp
1718877600000,0.02,0.8161,0.02,0.6675,185509312.7,1718881199999,128342022.18359,545794,2024-06-20 10:00:00+00:00
1718881200000,0.6675,0.7012,0.6209,0.6304,31141101.6,1718884799999,20750200.24799,140425,2024-06-20 11:00:00+00:00
1718884800000,0.6303,0.7049,0.622,0.6619,36214141.5,1718888399999,24508935.94333,136845,2024-06-20 12:00:00+00:00
1718888400000,0.6625,0.6944,0.64,0.6933,22894727.7,1718891999999,15224251.93018,75187,2024-06-20 13:00:00+00:00
1718892000000,0.6936,0.7266,0.6772,0.689,31378001.3,1718895599999,22006700.05703,77845,2024-06-20 14:00:00+00:00
1718895600000,0.689,0.698,0.65,0.6601,15861567.3,1718899199999,10698594.32829,44029,2024-06-20 15:00:00+00:00
1718899200000,0.6601,0.6797,0.636,0.6692,11177221.4,1718902799999,7386644.79958,36971,2024-06-20 16:00:00+00:00
1718902800000,0.6689,0.6879,0.655,0.6778,7700869.9,1718906399999,5193640.63576,26859,2024-06-20 17:00:00+00:00
1718906400000,0.6777,0.6885,0.6676,0.6828,6080385.9,1718909999999,4130956.66908,20992,2024-06-20 18:00:00+00:00
1718910000000,0.6828,0.683,0.6575,0.6633,5204808.8,1718913599999,3481944.70552,17381,2024-06-20 19:00:00+00:00
1718913600000,0.6633,0.6972,0.6616,0.6902,8009114.0,1718917199999,5484512.45881,24592,2024-06-20 20:00:00+00:00
1718917200000,0.6902,0.6923,0.665,0.673,3752709.8,1718920799999,2561676.54757,14951,2024-06-20 21:00:00+00:00
1718920800000,0.6731,0.685,0.6726,0.6792,2298991.9,1718924399999,1557222.35908,10097,2024-06-20 22:00:00+00:00
1718924400000,0.6792,0.6798,0.66,0.6729,3162664.5,1718927999999,2119647.3517,11408,2024-06-20 23:00:00+00:00
1718928000000,0.6729,0.6742,0.6466,0.6509,4767514.1,1718931599999,3142350.23558,14444,2024-06-21 00:00:00+00:00
1718931600000,0.6509,0.6723,0.6503,0.6586,5877154.7,1718935199999,3890376.87088,15081,2024-06-21 01:00:00+00:00
1718935200000,0.6585,0.8047,0.6585,0.7917,39311319.2,1718938799999,29661736.72726,91048,2024-06-21 02:00:00+00:00
1718938800000,0.7918,0.8083,0.7555,0.7902,24975941.8,1718942399999,19549520.0688,69821,2024-06-21 03:00:00+00:00
1718942400000,0.7903,0.8058,0.7465,0.7702,14318407.2,1718945999999,11042797.37343,42114,2024-06-21 04:00:00+00:00
1718946000000,0.7695,0.7977,0.7585,0.7789,12197846.5,1718949599999,9500609.30048,32797,2024-06-21 05:00:00+00:00
1718949600000,0.7784,0.8571,0.7779,0.8306,35041233.5,1718953199999,29065294.44185,86288,2024-06-21 06:00:00+00:00
1718953200000,0.8306,0.8438,0.795,0.8137,17898874.8,1718956799999,14637626.08709,52412,2024-06-21 07:00:00+00:00
1718956800000,0.8143,0.8199,0.6857,0.7047,44342025.8,1718960399999,32749644.45411,93889,2024-06-21 08:00:00+00:00
1718960400000,0.7046,0.7306,0.6903,0.7145,24914402.0,1718963999999,17756768.79442,58673,2024-06-21 09:00:00+00:00
1718964000000,0.7146,0.747,0.7053,0.7406,14200802.9,1718967599999,10316331.24833,36527,2024-06-21 10:00:00+00:00
1718967600000,0.7406,0.7418,0.7013,0.7123,9732720.1,1718971199999,6959413.11647,26230,2024-06-21 11:00:00+00:00
1718971200000,0.7121,0.7134,0.6658,0.6811,19865059.7,1718974799999,13584795.30696,47730,2024-06-21 12:00:00+00:00
