open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,timestamp
1757336400000,0.2,3.65,0.2,1.5242,105902067.0,1757340000000,139212947.68025,969869,2025-09-08 13:00:00+00:00
1757340000000,1.5261,1.5695,1.3342,1.5207,28996482.5,1757343600000,42337234.42974,220757,2025-09-08 14:00:00+00:00
1757343600000,1.5207,1.5499,1.38,1.4272,14634061.8,1757347200000,21302004.25815,118257,2025-09-08 15:00:00+00:00
1757347200000,1.4274,1.5958,1.3925,1.5342,14930624.9,1757350800000,22423619.0041,147505,2025-09-08 16:00:00+00:00
1757350800000,1.5335,1.5447,1.4256,1.46,7184191.8,1757354400000,10634599.12451,84461,2025-09-08 17:00:00+00:00
1757354400000,1.4603,1.54,1.4324,1.4549,6274810.3,1757358000000,9334069.86099,61290,2025-09-08 18:00:00+00:00
1757358000000,1.456,1.8896,1.4288,1.7348,23130951.9,1757361600000,39134991.36845,185116,2025-09-08 19:00:00+00:00
1757361600000,1.735,1.8019,1.5455,1.5816,16294886.3,1757365200000,26919983.87755,144048,2025-09-08 20:00:00+00:00
1757365200000,1.5816,1.6429,1.5504,1.604,7104167.2,1757368800000,11377718.14738,51651,2025-09-08 21:00:00+00:00
1757368800000,1.6046,1.6046,1.4127,1.451,8418997.2,1757372400000,12566351.65584,75445,2025-09-08 22:00:00+00:00
1757372400000,1.451,1.4735,1.3611,1.4347,6754006.1,1757376000000,9577840.3867,58044,2025-09-08 23:00:00+00:00
1757376000000,1.4353,1.4615,1.36,1.44,5271732.5,1757379600000,7498610.46987,48180,2025-09-09 00:00:00+00:00
1757379600000,1.4397,1.5797,1.41,1.5189,5271662.6,1757383200000,7743697.75983,47694,2025-09-09 01:00:00+00:00
1757383200000,1.5171,1.553,1.3742,1.411,6922646.2,1757386800000,10136687.65625,60193,2025-09-09 02:00:00+00:00
1757386800000,1.4119,1.4391,1.2,1.2909,9754384.8,1757390400000,12629448.66224,72550,2025-09-09 03:00:00+00:00
1757390400000,1.2896,1.352,1.2673,1.2955,4515658.1,1757394000000,5940079.42963,38848,2025-09-09 04:00:00+00:00
1757394000000,1.2954,1.3603,1.16,1.1764,13527542.4,1757397600000,16251293.40445,93425,2025-09-09 05:00:00+00:00
