open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,timestamp
1756821600000,0.3,0.66,0.3,0.4604,81369343.5,1756825200000,42932074.35687,415011,2025-09-02 14:00:00+00:00
1756825200000,0.4605,0.4805,0.4113,0.4536,35600500.6,1756828800000,15842239.29909,122831,2025-09-02 15:00:00+00:00
1756828800000,0.4533,0.53,0.4306,0.5244,27553280.8,1756832400000,13159281.34336,77253,2025-09-02 16:00:00+00:00
1756832400000,0.5247,0.5555,0.4903,0.5214,26641013.4,1756836000000,14024945.07154,65729,2025-09-02 17:00:00+00:00
1756836000000,0.5213,0.54,0.4611,0.4917,23658819.1,1756839600000,11633137.213,49524,2025-09-02 18:00:00+00:00
1756839600000,0.4923,0.5248,0.485,0.4889,18566959.2,1756843200000,9374384.49014,33286,2025-09-02 19:00:00+00:00
1756843200000,0.489,0.4985,0.4686,0.4732,9412569.0,1756846800000,4539544.19077,21245,2025-09-02 20:00:00+00:00
1756846800000,0.474,0.5085,0.474,0.4926,6386028.2,1756850400000,3150529.42802,17265,2025-09-02 21:00:00+00:00
1756850400000,0.4928,0.4928,0.4721,0.4817,3820517.7,1756854000000,1839710.07815,13546,2025-09-02 22:00:00+00:00
1756854000000,0.4813,0.4979,0.4755,0.4917,3969447.4,1756857600000,1939323.51798,11151,2025-09-02 23:00:00+00:00
1756857600000,0.4916,0.4922,0.4425,0.457,7191491.5,1756861200000,3332527.3352,18391,2025-09-03 00:00:00+00:00
1756861200000,0.4571,0.4787,0.4545,0.469,3507254.2,1756864800000,1640749.52331,9813,2025-09-03 01:00:00+00:00
1756864800000,0.469,0.495,0.458,0.4836,6114455.9,1756868400000,2926947.03322,14119,2025-09-03 02:00:00+00:00
1756868400000,0.4836,0.488,0.4716,0.4841,3214625.9,1756872000000,1548123.99346,9902,2025-09-03 03:00:00+00:00
1756872000000,0.4835,0.579,0.477,0.5542,16849427.6,1756875600000,9062040.08137,31817,2025-09-03 04:00:00+00:00
1756875600000,0.5537,0.5537,0.5037,0.5171,9515993.1,1756879200000,4995460.10713,21060,2025-09-03 05:00:00+00:00
1756879200000,0.5171,0.5291,0.4901,0.5014,7132904.5,1756882800000,3629674.13306,20764,2025-09-03 06:00:00+00:00
