open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,timestamp
1737273600000,27.25,64.0,27.25,58.94,10673724.592,1737277200000,577507886.62337,608563,2025-01-19 08:00:00+00:00
1737277200000,58.91,77.0,56.0,62.73,20552911.051,1737280800000,1339444191.80642,1527756,2025-01-19 09:00:00+00:00
1737280800000,62.77,69.74,61.5,67.68,9294231.677,1737284400000,615387182.54849,807882,2025-01-19 10:00:00+00:00
1737284400000,67.68,77.24,67.67,74.06,9183562.35,1737288000000,670690964.95486,813571,2025-01-19 11:00:00+00:00
1737288000000,74.06,75.0,65.63,69.41,7445796.645,1737291600000,523865258.26101,703649,2025-01-19 12:00:00+00:00
1737291600000,69.42,73.3,69.1,71.15,4279793.855,1737295200000,305524171.65518,511279,2025-01-19 13:00:00+00:00
1737295200000,71.14,71.8,57.0,61.85,9652753.855,1737298800000,610656389.21589,919171,2025-01-19 14:00:00+00:00
1737298800000,61.85,64.4,55.17,62.08,8502473.515,1737302400000,505367067.01466,754998,2025-01-19 15:00:00+00:00
1737302400000,62.09,67.74,59.0,66.89,4936916.3,1737306000000,315188276.29324,580598,2025-01-19 16:00:00+00:00
1737306000000,66.89,66.89,62.16,66.0,3171301.959,1737309600000,205113601.75917,397812,2025-01-19 17:00:00+00:00
1737309600000,66.0,70.72,65.74,69.12,3674918.465,1737313200000,252826364.49148,476642,2025-01-19 18:00:00+00:00
1737313200000,69.12,69.5,63.94,66.0,2891742.858,1737316800000,192704266.1476,374147,2025-01-19 19:00:00+00:00
1737316800000,66.0,73.45,65.98,73.35,3558427.013,1737320400000,248958080.15428,422897,2025-01-19 20:00:00+00:00
1737320400000,73.36,75.23,40.0,48.38,21514481.306,1737324000000,1173929902.39436,1904275,2025-01-19 21:00:00+00:00
1737324000000,48.38,53.19,41.2,46.76,16413507.174,1737327600000,769265965.17628,1257619,2025-01-19 22:00:00+00:00
1737327600000,46.76,48.5,37.35,46.5,12762154.502,1737331200000,543319343.38538,879523,2025-01-19 23:00:00+00:00
1737331200000,46.49,52.6,43.21,46.1,9356840.697,1737334800000,448211120.9565,810735,2025-01-20 00:00:00+00:00
1737334800000,46.11,50.61,45.0,46.49,4090066.942,1737338400000,195127182.26279,582107,2025-01-20 01:00:00+00:00
1737338400000,46.5,49.2,42.0,44.47,3788587.772,1737342000000,173541827.66603,467572,2025-01-20 02:00:00+00:00
1737342000000,44.47,46.53,42.98,44.82,2474258.935,1737345600000,110669402.13431,369275,2025-01-20 03:00:00+00:00
1737345600000,44.81,55.0,44.46,51.85,5387746.03,1737349200000,270024930.16784,657739,2025-01-20 04:00:00+00:00
1737349200000,51.85,63.99,50.8,58.75,9546618.271,1737352800000,564852283.96873,1145359,2025-01-20 05:00:00+00:00
1737352800000,58.75,62.0,55.22,59.27,5812035.938,1737356400000,344291816.7872,758252,2025-01-20 06:00:00+00:00
1737356400000,59.27,61.8,56.25,59.29,4113608.666,1737360000000,244257825.69963,455346,2025-01-20 07:00:00+00:00
1737360000000,59.29,59.4,55.53,58.82,2783470.607,1737363600000,160710456.81862,400079,2025-01-20 08:00:00+00:00
1737363600000,58.82,59.0,50.1,53.35,4816829.79,1737367200000,258576173.19436,535297,2025-01-20 09:00:00+00:00
1737367200000,53.34,56.2,52.04,54.14,2951655.897,1737370800000,159648226.09229,425428,2025-01-20 10:00:00+00:00
1737370800000,54.15,55.0,52.55,53.24,1933443.462,1737374400000,103810050.03161,371004,2025-01-20 11:00:00+00:00
1737374400000,53.23,56.2,47.0,49.11,5253479.172,1737378000000,269623986.69692,720800,2025-01-20 12:00:00+00:00
1737378000000,49.11,50.1,44.91,49.09,6404469.227,1737381600000,302957165.17647,692785,2025-01-20 13:00:00+00:00
